Date,SPX,USO,SLV,EUR/USD,RSI,ROC,Moving Average,MFI,GLD
01/02/2008,1447.160034,78.470001,15.18,1.471692,68.64,7.64,79.31,64.38,84.860001
01/03/2008,1447.160034,78.370003,15.285,1.474491,70.31,6.31,79.53,64.55,85.57
01/04/2008,1411.630005,77.309998,15.167,1.475492,67.89,8.45,79.73,64.89,85.129997
01/07/2008,1416.180054,75.5,15.053,1.468299,65.9,7.96,79.91,64.41,84.769997
01/08/2008,1390.189941,76.059998,15.59,1.557099,71.02,11.07,80.13,72.5,86.779999
01/09/2008,1409.130005,75.25,15.52,1.466405,69.73,9.21,80.31,62.78,86.550003
01/10/2008,1420.329956,74.019997,16.061001,1.4801,73.55,11.37,80.51,65.71,88.25
01/11/2008,1401.02002,73.089996,16.077,1.479006,74.23,12.6,80.73,71.81,88.580002
1/14/2008,1416.25,74.25,16.280001,1.4869,76.15,11.79,80.95,73.42,89.540001
1/15/2008,1380.949951,72.779999,15.834,1.48021,67.41,9.8,81.15,59.08,87.989998
1/16/2008,1373.199951,71.849998,15.654,1.466405,61.12,6.35,81.29,47.02,86.699997
1/17/2008,1333.25,71.029999,15.717,1.464,60.19,6.06,81.43,41.44,86.5
1/18/2008,1325.189941,71.540001,16.030001,1.461796,63,5.33,81.55,42.95,87.419998
1/22/2008,1310.5,70.550003,15.902,1.464794,65.16,6.92,81.66,50.35,88.169998
1/23/2008,1338.599976,69.5,15.9,1.463208,63.66,3.57,81.78,51.02,87.889999
1/24/2008,1352.069946,70.93,16.299999,1.47741,69.54,5.27,81.94,51.44,90.080002
1/25/2008,1330.609985,71.910004,16.298,1.467502,70.07,6.07,82.18,56.32,90.300003
1/28/2008,1353.959961,72.349998,16.549999,1.478809,73.33,8.23,82.43,60.4,91.75
1/29/2008,1362.300049,72.980003,16.534,1.477192,69.93,5.04,82.65,55.37,91.150002
1/30/2008,1355.810059,73.080002,16.674999,1.483107,72.05,6.37,82.93,61.71,92.059998
1/31/2008,1378.550049,72.349998,16.818001,1.486503,68.3,3.57,83.2,56.41,91.400002
02/01/2008,1395.420044,70.470001,16.618999,1.479991,58.18,0.87,83.44,49.23,89.349998
02/04/2008,1380.819946,71.370003,16.514999,1.4828,57.07,-0.49,83.64,44.09,89.099998
02/05/2008,1336.640015,70.150002,16.167,1.463807,51.1,-0.35,83.8,47.12,87.68
